wm_country_name,total_deaths,female_deaths,male_deaths
Solomon Islands,37.01826,16.711321039,21.542972464
Somalia,12395.83,6378.966992358999,5901.7083340608
South Africa,7656.672,3827.6560352896,3855.9380848259
South Sudan,7740.42,3284.9136330171,3570.2912576775
Spain,70.36836,44.662050444,26.128742161599998
Sri Lanka,247.5077,130.7604563956,119.3968810294
Sudan,6855.941,3653.6414058168,3249.0210010650003
Suriname,11.20705,5.4896495950999995,5.848915185
Sweden,21.169,13.3197723649,7.846236286200001
Switzerland,11.58101,7.1394996748,4.4111444787
Syrian Arab Republic,675.5495,356.34179619720004,284.2082971638
Tajikistan,235.8854,102.8081860668,131.2543225752
Thailand,2414.717,1185.705114048,1232.8088205849
Timor-Leste,125.7667,59.157572643399995,61.708376898
Togo,3166.78,1553.4530751222,1573.081031512
Tonga,1.52692,1.0253074986000001,0.4185062336
Trinidad and Tobago,1.93681,0.8773508172,1.0779563949
Tunisia,115.7742,69.266463866,45.4318126552
Turkey,235.1192,128.97743322500003,107.06250356940001
Turkmenistan,225.2361,99.94719010360001,125.28185291890001
Uganda,13093.17,6127.1807380349,6380.2358571006
Ukraine,119.3717,55.79970950399999,64.331147323
United Arab Emirates,2.69967,1.1710388868000001,1.6017693300000002
United Kingdom of Great Britain and Northern Ireland,129.7347,83.3644844253,47.375673723
United Republic of Tanzania,21341.52,10777.620209737499,9583.6798771848
United States of America,745.9761,443.98495347219995,303.8882958927
Uruguay,12.40418,7.5454006608,4.7893218973
Uzbekistan,138.8398,58.48208841540001,80.3326780968
Vanuatu,28.17007,11.779420641299998,17.2270806025
Venezuela (Bolivarian Republic of),438.8923,205.9471334976,209.05609144640002
Viet Nam,1532.777,534.2574358541,987.0471190272001
Yemen,2814.495,1586.0646058832,1187.0272401936002
Zambia,5792.504,2746.5311956118,2965.6965513618998
Zimbabwe,3965.033,1630.4042691215998,1806.4993289728002
