wm_country_name,female_deaths,male_deaths
Ghana,2731.1345203464,2630.7354288075003
Greece,2.8734189887,1.0698125516
Grenada,0.0084238765,0.3712334058
Guatemala,504.1087315495,539.827818868
Guinea,2501.8612660547005,2719.0183978175996
Guinea-Bissau,301.11003724899996,327.22545618640004
Guyana,12.242745891,15.8772222576
Haiti,1105.17184215,1473.1056855529002
Honduras,177.4885245315,157.98216700019998
Hungary,15.2428481645,8.1493563375
Iceland,0.19172427,0.1522626228
India,136624.22437914248,109402.8271122807
Indonesia,10181.182293152,8277.5498471424
Iran (Islamic Republic of),381.41026171889996,401.99220621419994
Iraq,415.62921055530006,695.1636870465
Ireland,2.3385425292,1.1457578796
Israel,11.5903476,8.424427752
Italy,52.8424964529,30.434202665999997
Jamaica,8.402373217500001,9.4299331436
Japan,125.6185532376,87.3610977528
Jordan,37.200264181499996,22.6528390055
Kazakhstan,35.84676266500001,32.4658711463
Kenya,12264.831303468001,12826.945293650999
Kiribati,11.279551944300001,7.478234479799999
Kuwait,0.1437909493,0.35223381610000004
Kyrgyzstan,22.493218160999998,24.634255388599996
Lao People's Democratic Republic,389.9779169268,384.41559619000003
Latvia,0.2655150435,0.1412132846
Lebanon,28.9566541085,23.8548084856
Lesotho,525.113167064,393.69898285700003
Liberia,903.0020063194999,1002.0476955321001
Libya,21.380964000299997,16.4350950288
Lithuania,1.1692948242,1.1650557903
Luxembourg,0.178831854,0.1020104584
Madagascar,3703.5087867642997,3822.4784140827
Malawi,2399.2284533427,2467.4991024998
Malaysia,67.02568178679999,61.8822447702
Maldives,0.420895152,1.0605180351999999
Mali,6382.766185467,6322.6571915047
Malta,0.11943004200000001,0.0263218995
Mauritania,756.8751749597999,848.5416398250001
Mauritius,2.7826446414,4.642859924
Mexico,699.418098574,603.5999236565999
Micronesia (Federated States of),2.0215152261,1.9144756512
Mongolia,12.2017396278,27.156332629999998
Montenegro,0.0706355406,0.08905870960000001
Morocco,350.55121441250003,317.95024054600003
Mozambique,3881.3215921444003,3806.6639415867003
Myanmar,3351.6668439955997,3339.3745578989
Namibia,222.2201541049,209.701682718
Nepal,3625.5481119503997,1857.0557181888
Netherlands,24.6178615251,16.2954256896
New Zealand,4.412521536800001,2.3789910144
Nicaragua,65.40894482,76.069378086
Niger,6934.537553112,7787.8955861592
Nigeria,60202.12425963119,67417.1899892478
Norway,6.7154169143999995,4.3962284153999995
Oman,0.7244697835,1.314807039
Pakistan,23121.676677062696,16753.5959450975
Panama,34.807420326,41.7494914154
Papua New Guinea,731.634752679,617.0738081067001
Paraguay,49.9800960264,49.2773197398
Peru,192.515230575,202.2893357496
Philippines,1852.3567102398,2493.5623529633003
Poland,21.367814624100003,13.070009076500002
Portugal,10.537185578399999,5.255312046599999
Qatar,0.08736671580000001,0.12661266799999998
Republic of Korea,566.465510429,353.8474759234
Republic of Moldova,2.3332220806,1.5674537219999998
Romania,40.17748784,31.524541692
Russian Federation,73.6259208426,78.4929475904
Rwanda,1160.005348579,1097.813743272
Saint Lucia,0.24392022350000003,1.0599591800000001
Saint Vincent and the Grenadines,0.6759154614,0.7837532083
Samoa,1.4082303477999998,1.48796274
Sao Tome and Principe,11.9320523925,11.152373869200002
Saudi Arabia,15.9951156257,13.90951883
Senegal,1689.8625760940001,1886.3132462086999
Serbia,39.1410103882,26.058583405
Seychelles,0.0654897492,0.097790017
Sierra Leone,2787.936125796,3172.6121598633003
Singapore,2.2579787853,1.4205285217999999
Slovakia,1.4860197136,0.9484393545
Slovenia,0.2948801295,0.1434286529
Solomon Islands,16.711321039,21.542972464
Somalia,6378.966992358999,5901.7083340608
South Africa,3827.6560352896,3855.9380848259
South Sudan,3284.9136330171,3570.2912576775
Spain,44.662050444,26.128742161599998
Sri Lanka,130.7604563956,119.3968810294
Sudan,3653.6414058168,3249.0210010650003
Suriname,5.4896495950999995,5.848915185
Sweden,13.3197723649,7.846236286200001
Switzerland,7.1394996748,4.4111444787
Syrian Arab Republic,356.34179619720004,284.2082971638
Tajikistan,102.8081860668,131.2543225752
Thailand,1185.705114048,1232.8088205849
Timor-Leste,59.157572643399995,61.708376898
Togo,1553.4530751222,1573.081031512
Tonga,1.0253074986000001,0.4185062336
Trinidad and Tobago,0.8773508172,1.0779563949
Tunisia,69.266463866,45.4318126552
Turkey,128.97743322500003,107.06250356940001
Turkmenistan,99.94719010360001,125.28185291890001
Uganda,6127.1807380349,6380.2358571006
Ukraine,55.79970950399999,64.331147323
United Arab Emirates,1.1710388868000001,1.6017693300000002
United Kingdom of Great Britain and Northern Ireland,83.3644844253,47.375673723
United Republic of Tanzania,10777.620209737499,9583.6798771848
United States of America,443.98495347219995,303.8882958927
Uruguay,7.5454006608,4.7893218973
Uzbekistan,58.48208841540001,80.3326780968
Vanuatu,11.779420641299998,17.2270806025
Venezuela (Bolivarian Republic of),205.9471334976,209.05609144640002
Viet Nam,534.2574358541,987.0471190272001
Yemen,1586.0646058832,1187.0272401936002
Zambia,2746.5311956118,2965.6965513618998
Zimbabwe,1630.4042691215998,1806.4993289728002
